283|9459|8291|6611|7203|1721500|1342|5814|6220|6414|7389|3345|6167|18|3385|9386|2741|740|8389|1693|4257|166|0.5|0.5|0.5|1147|9466|4469|3324|8027|8390|2545|2208|3330|8286|2783|4376|3980|7105|1505|2511|4755|1421|634|9394|823|4681|7029|407|759|248|795|3174|1278|8173|2049|7928|6219
1935|6882|1857|7200|9430|645171|5928|1223|6606|633|6912|4263|2808|24|9939|9710|9034|5992|9308|2039|1519|5116|0.5|0.5|0.5|5444|7242|7305|9969|6334|1329|7022|9117|5018|4932|2766|2652|8063|7517|1704|4372|9856|1169|6158|6032|2396|8933|9881|6396|2383|658|3171|8303|7886|9109|5135|9471|7778
1968|948|9839|1086|7313|8321634|1825|9062|3791|719|4264|1736|8295|13|1729|2868|8614|4552|9444|9223|3731|2969|0.5|0.5|0.5|4901|4457|3871|4789|8804|836|1897|8175|5637|8626|3643|8935|2539|3710|3620|3587|2973|8644|663|9825|3296|5785|5222|4602|9522|509|5488|9903|5854|4767|7406|7771|4068
5248|1330|1813|3839|1500|2318211|5645|6186|2063|9931|6369|6447|4673|18|8737|2115|78|4948|2257|9058|3764|535|0.5|0.5|0.5|9998|8874|3888|1142|344|8077|293|3767|155|7127|2518|5263|7984|3216|7782|7674|3654|5736|8886|343|8262|5562|4928|5630|7397|164|4909|85|5547|2129|7967|259|8627
3826|3003|9576|4428|2076|5681839|7264|8751|4830|1915|300|3936|9911|22|1112|2638|6158|3861|8846|1926|4863|3319|0.5|0.5|0.5|3844|5558|1591|584|1830|651|8715|8652|2045|4589|2235|3602|8867|6714|7182|9730|7473|5347|9031|1232|2541|9579|8541|2060|9849|7293|1441|126|6069|1913|2537|9625|2388
8956|601|8776|2319|5808|8081964|2150|9696|1461|5284|5354|3468|5319|17|4063|592|1691|2982|6664|1819|5279|3718|0.5|0.5|0.5|9006|9386|2958|3890|7671|2749|3557|3458|8157|1136|7472|3454|2173|7839|1143|9182|2401|1443|489|990|3728|5095|9427|9482|7545|3925|9659|4642|1425|7304|4787|1353|9117
9190|632|1983|1506|3403|9192648|4963|4685|5132|9126|4705|6943|3473|16|8597|4706|7719|9834|5605|5695|9641|2987|0.5|0.5|0.5|7643|4545|1271|3776|2714|5341|8166|7337|4411|2631|8536|8758|3484|4826|8490|6734|8076|4004|4649|2436|6305|3784|9217|5048|7764|5583|3189|3572|1890|7538|3894|2528|9469
1729|2330|6609|3940|3736|9563359|3262|132|5023|4414|2714|234|5026|5|171|8699|7996|6797|6548|9200|7831|1609|0.5|0.5|0.5|4322|6372|2343|8799|3427|8752|3769|82|4584|4038|8505|5005|6752|6645|173|8548|8997|611|3784|6354|4354|4640|2691|8199|8327|4853|4985|4019|3978|8509|962|7325|6237
6828|9155|8241|6005|5164|6264941|930|531|4651|9164|8896|5120|4216|19|6459|2231|8364|2339|335|4270|1620|6498|0.5|0.5|0.5|9025|5010|356|8201|1710|3130|3015|654|1539|6021|3218|1801|750|9189|2041|1470|1542|632|1986|4937|8213|9017|2618|7092|9881|3059|4231|6143|1257|5641|3793|6994|3012
2395|1339|7478|9912|2275|5710922|8864|346|6940|136|1841|4970|5915|15|5198|5225|1544|1100|7504|177|8750|9442|0.5|0.5|0.5|2643|7762|9233|1992|2422|3742|8866|70|9434|2319|3702|9069|6887|2231|4935|4517|217|721|94|8622|6183|6099|8523|6466|693|7839|2018|3754|7358|7222|5663|981|1868
